Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1382.1976	259.2621	-969.7014	-1859.4039	-1445.3623	97.30072	-1328.3986	-1687.7811	200.0	200.0	1999	-19.171839	10.938653	0.606701	-57.928013	-19.167412	10.942912	0.4983471	-58.001915	-0.30573127	0.7414683	5.2439137	-7.9728785	19.074759	4.077236	29.611574172973633
2	-1092.0422	215.80319	-704.14087	-1446.5123	-952.6699	116.62969	-756.37	-1189.9968	200.0	200.0	3999	-60.232334	19.820358	-8.706859	-109.64515	-60.23143	19.81945	-8.558172	-108.13925	0.1208262	0.9716501	5.144398	-10.8978615	60.06053	38.28568	90.21610951423645
3	-956.4704	259.9173	-636.8698	-1621.5925	-713.6255	138.36446	-505.35696	-1009.1129	200.0	200.0	5999	-102.40612	19.999756	-41.46934	-149.85341	-102.40599	19.992079	-41.791187	-149.35753	0.45804805	0.94670457	6.86856	-9.634034	102.19043	105.00816	149.79940247535706
4	-841.1732	254.7013	-503.69272	-1177.4955	-892.0591	364.43204	-513.6989	-1364.2483	200.0	200.0	7999	-135.57826	20.661049	-76.19373	-180.79768	-135.57748	20.660812	-76.391045	-180.53761	0.68983257	0.94228894	5.3640976	-11.487007	135.37234	184.46419	210.78429579734802
5	-734.2345	461.6418	-135.39763	-1497.2554	-1103.2888	494.31314	-249.04405	-1534.6702	200.0	200.0	9999	-161.18327	21.675121	-103.982414	-209.51686	-161.18277	21.667652	-104.827225	-208.64334	0.76738673	1.0198762	11.472519	-9.955009	160.96564	252.35701	271.75212597846985
6	-724.30725	387.98038	-127.194244	-1466.105	-769.3216	662.4554	-129.85143	-1609.6593	200.0	200.0	11999	-181.17886	23.73657	-124.459724	-232.25835	-181.17892	23.730528	-124.059204	-230.79497	0.93100595	1.0605694	6.838479	-8.984553	180.93678	315.43933	332.5613696575165
7	-658.5543	582.88837	-2.4562216	-1537.5234	-346.77335	469.68945	-1.7288529	-1691.783	200.0	200.0	13999	-194.12701	26.079412	-137.55617	-248.49776	-194.1268	26.076668	-138.44626	-246.03122	1.0448128	1.1028129	10.228161	-9.869266	193.86281	356.40076	393.7346251010895
8	-722.6654	614.387	-1.0662174	-1482.0895	-700.3124	662.71375	-2.390362	-1638.3156	200.0	200.0	15999	-204.00458	28.12781	-151.73834	-253.92755	-204.00427	28.130419	-152.68886	-251.42564	1.0444509	1.0655719	7.3851166	-7.6366177	203.7279	401.1185	454.9253213405609
9	-533.7867	578.4631	-1.5370842	-1656.4657	-779.194	628.2601	-2.7432976	-1646.1671	200.0	200.0	17999	-212.47379	28.736925	-158.65923	-262.62125	-212.47386	28.73671	-159.25935	-261.71307	1.0174787	1.0333252	7.1143436	-8.48744	212.26282	445.70847	515.4744930267334
10	-582.0998	505.11426	-131.45848	-1678.1194	-709.0171	526.49896	-261.72797	-1664.8911	200.0	200.0	19999	-218.17238	29.761917	-168.67117	-270.40668	-218.17104	29.766941	-168.8674	-269.0522	1.0650423	1.0224285	7.8647857	-8.817504	217.9947	463.0213	576.9408528804779
11	-721.98096	474.8347	-126.7497	-1635.7126	-1219.7443	465.99658	-260.02365	-1683.9991	200.0	200.0	21999	-223.6019	29.822296	-175.88794	-274.40347	-223.60124	29.827314	-176.72581	-273.20114	1.0607014	1.013257	7.483229	-7.7517557	223.51558	451.22067	637.4637308120728
12	-570.9203	470.25888	-128.14291	-1480.0311	-742.9696	659.28564	-3.521387	-1688.8872	200.0	200.0	23999	-228.7144	29.881388	-181.17058	-282.06564	-228.71376	29.88495	-181.21956	-280.24207	0.9973876	0.9903933	18.180164	-9.599704	228.65141	492.4192	699.1829595565796
13	-397.1538	546.43085	-2.8765967	-1491.9089	-780.86273	732.05066	-0.6764405	-1537.1969	200.0	200.0	25999	-230.84782	30.330275	-184.70398	-284.48514	-230.84753	30.332561	-185.89067	-282.79272	1.0025322	1.0061016	6.721434	-8.63446	230.77963	527.7226	761.3039252758026
14	-883.66394	610.39716	-127.584984	-1505.0732	-910.25183	681.91034	-4.254593	-1687.7712	200.0	200.0	27999	-231.84499	30.244205	-186.24321	-292.12903	-231.84456	30.244549	-186.46547	-290.59427	0.9949811	0.9729184	6.2394433	-11.184725	231.78035	538.4726	824.1487565040588
15	-786.91174	632.16736	-129.5276	-1530.5835	-924.7663	582.3061	-123.274216	-1474.1741	200.0	200.0	29999	-234.24905	30.76653	-186.93929	-293.54608	-234.24922	30.76581	-189.42424	-291.72858	0.98495007	0.9594211	7.3518424	-8.718182	234.22623	568.8693	887.5755960941315
16	-861.7633	619.11633	-124.62727	-1523.1646	-838.4539	641.57996	-127.65108	-1497.8408	200.0	200.0	31999	-236.47472	31.06455	-184.41054	-300.5506	-236.47478	31.064116	-190.58368	-298.14493	0.96769196	0.93959147	7.499772	-8.443483	236.48465	532.0445	952.1681613922119
17	-1024.645	668.0533	-1.3679236	-1683.3258	-859.85803	640.29126	-5.5993633	-1508.415	200.0	200.0	33999	-239.9604	31.541393	-187.90668	-297.37997	-239.9601	31.541449	-192.41405	-295.4996	0.9905493	0.9294868	13.228141	-7.538603	239.99954	553.76575	1017.824449300766
18	-319.93152	383.57047	-4.728316	-1381.0011	-686.29706	665.41626	-2.6176457	-1679.6514	200.0	200.0	35999	-242.67012	31.375963	-193.90677	-301.8917	-242.67024	31.375053	-197.34972	-302.30707	1.0190768	0.94246787	7.747478	-9.278164	242.69356	567.45575	1085.584223985672
19	-1004.1239	574.0092	-127.56508	-1699.8031	-871.5568	560.31335	-125.81071	-1499.6191	200.0	200.0	37999	-243.91856	31.38569	-197.64565	-308.69678	-243.9189	31.386507	-198.42226	-309.49603	0.96146846	0.9205701	7.107984	-9.074673	243.95035	602.26654	1157.9541239738464
20	-791.1867	581.10297	-135.23105	-1488.1659	-573.013	580.008	-124.63627	-1479.4999	200.0	200.0	39999	-245.63922	31.433842	-198.47089	-309.60464	-245.63924	31.43213	-200.13713	-310.1155	1.0171779	0.90165293	7.1646943	-10.790521	245.65353	603.4754	1238.1996684074402
21	-1110.6879	563.17554	-129.00044	-1529.4069	-774.0807	696.15875	-4.1540384	-1486.3433	200.0	200.0	41999	-247.28847	31.589533	-198.48476	-308.1778	-247.28789	31.591997	-198.45891	-310.57675	1.033195	0.8994907	6.804453	-10.79155	247.30591	598.28125	1323.971928358078
22	-935.98206	633.0706	-128.5989	-1517.9996	-656.0203	622.3124	-4.177562	-1473.1997	200.0	200.0	43999	-249.90932	31.885748	-201.53156	-305.94983	-249.9096	31.887156	-203.16942	-307.1269	1.0239613	0.92818415	10.955799	-8.25499	249.95581	600.04407	1408.623982667923
23	-698.0084	599.2691	-125.475136	-1466.5392	-1029.5223	622.6796	-1.6460272	-1477.0178	200.0	200.0	45999	-252.11014	31.765291	-202.50159	-313.10526	-252.10954	31.764534	-204.73083	-312.8451	1.0592337	0.956031	18.689629	-9.970453	252.13074	611.52313	1495.471580505371
24	-811.41223	613.1548	-124.94525	-1467.8519	-608.82074	551.29846	-128.95605	-1453.8066	200.0	200.0	47999	-252.88783	32.06562	-205.20172	-309.79443	-252.88795	32.068375	-206.22136	-311.32077	1.0417304	0.92841583	7.9021153	-8.330698	252.96031	625.42804	1581.3864977359772
25	-646.5771	546.34094	-3.5649154	-1438.3937	-585.76196	544.2914	-11.038906	-1404.736	200.0	200.0	49999	-254.37251	32.063496	-207.11807	-317.30963	-254.37257	32.065434	-207.30905	-318.2852	1.0113668	0.94872046	8.505817	-9.443957	254.44681	639.984	1668.7249298095703
26	-931.08264	532.45734	-248.81526	-1510.71	-996.19415	542.5169	-127.620514	-1499.1737	200.0	200.0	51999	-255.29462	31.746214	-206.85812	-316.27753	-255.29422	31.752005	-206.76454	-317.35504	1.0323462	0.9818284	34.740936	-9.574228	255.38623	642.57776	1766.8286006450653
